txid,from_address,to_address,value,timestamp,classification,inputs,outputs,meta
tf_donation_013,tf_donor_013,tf_target_001,0.006993,2025-08-25T20:26:00Z,unknown,"[{""address"": ""tf_donor_013"", ""amount"": 0.006993, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.006853}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 14, ""total_donors"": 30}"
tf_donation_014,tf_donor_014,tf_target_001,0.008111,2025-08-25T20:28:00Z,unknown,"[{""address"": ""tf_donor_014"", ""amount"": 0.008111, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.007949}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 15, ""total_donors"": 30}"
tf_donation_015,tf_donor_015,tf_target_001,0.005004,2025-08-25T20:30:00Z,illicit,"[{""address"": ""tf_donor_015"", ""amount"": 0.005004, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.004904}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 16, ""total_donors"": 30}"
tf_donation_016,tf_donor_016,tf_target_001,0.005525,2025-08-25T20:32:00Z,unknown,"[{""address"": ""tf_donor_016"", ""amount"": 0.005525, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.005415}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 17, ""total_donors"": 30}"
tf_donation_017,tf_donor_017,tf_target_001,0.003075,2025-08-25T20:34:00Z,unknown,"[{""address"": ""tf_donor_017"", ""amount"": 0.003075, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.003014}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 18, ""total_donors"": 30}"
tf_donation_018,tf_donor_018,tf_target_001,0.008685,2025-08-25T20:36:00Z,unknown,"[{""address"": ""tf_donor_018"", ""amount"": 0.008685, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.008511}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 19, ""total_donors"": 30}"
tf_donation_019,tf_donor_019,tf_target_001,0.008142,2025-08-25T20:38:00Z,unknown,"[{""address"": ""tf_donor_019"", ""amount"": 0.008142, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.007979}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 20, ""total_donors"": 30}"
tf_donation_020,tf_donor_020,tf_target_001,0.008728,2025-08-25T20:40:00Z,unknown,"[{""address"": ""tf_donor_020"", ""amount"": 0.008728, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.008553}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 21, ""total_donors"": 30}"
tf_donation_021,tf_donor_021,tf_target_001,0.003817,2025-08-25T20:42:00Z,unknown,"[{""address"": ""tf_donor_021"", ""amount"": 0.003817, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.003741}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 22, ""total_donors"": 30}"
tf_donation_022,tf_donor_022,tf_target_001,0.005298,2025-08-25T20:44:00Z,unknown,"[{""address"": ""tf_donor_022"", ""amount"": 0.005298, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.005192}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 23, ""total_donors"": 30}"
tf_donation_023,tf_donor_023,tf_target_001,0.00474,2025-08-25T20:46:00Z,unknown,"[{""address"": ""tf_donor_023"", ""amount"": 0.00474, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.004645}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 24, ""total_donors"": 30}"
tf_donation_024,tf_donor_024,tf_target_001,0.00816,2025-08-25T20:48:00Z,unknown,"[{""address"": ""tf_donor_024"", ""amount"": 0.00816, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.007997}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 25, ""total_donors"": 30}"
tf_donation_025,tf_donor_025,tf_target_001,0.006512,2025-08-25T20:50:00Z,unknown,"[{""address"": ""tf_donor_025"", ""amount"": 0.006512, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.006382}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 26, ""total_donors"": 30}"
tf_donation_026,tf_donor_026,tf_target_001,0.008056,2025-08-25T20:52:00Z,unknown,"[{""address"": ""tf_donor_026"", ""amount"": 0.008056, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.007895}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 27, ""total_donors"": 30}"
tf_donation_027,tf_donor_027,tf_target_001,0.006342,2025-08-25T20:54:00Z,unknown,"[{""address"": ""tf_donor_027"", ""amount"": 0.006342, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.006215}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 28, ""total_donors"": 30}"
tf_donation_028,tf_donor_028,tf_target_001,0.003557,2025-08-25T20:56:00Z,unknown,"[{""address"": ""tf_donor_028"", ""amount"": 0.003557, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.003486}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 29, ""total_donors"": 30}"
tf_donation_029,tf_donor_029,tf_target_001,0.004527,2025-08-25T20:58:00Z,unknown,"[{""address"": ""tf_donor_029"", ""amount"": 0.004527, ""script_type"": ""p2wpkh""}]","[{""address"": ""tf_target_001"", ""amount"": 0.004436}]","{""source"": ""synthetic"", ""pattern"": ""tf_crowdfunding"", ""donation_number"": 30, ""total_donors"": 30}"
legit_ecom_000,customer_000,merchant_000,1.236773,2025-08-25T09:00:00Z,licit,"[{""address"": ""customer_000"", ""amount"": 1.236773, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_000"", ""amount"": 1.19967}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_ecom_001,customer_001,merchant_001,2.018176,2025-08-25T11:00:00Z,licit,"[{""address"": ""customer_001"", ""amount"": 2.018176, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_001"", ""amount"": 1.957631}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_ecom_002,customer_002,merchant_002,2.343112,2025-08-25T13:00:00Z,licit,"[{""address"": ""customer_002"", ""amount"": 2.343112, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_002"", ""amount"": 2.272819}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_ecom_003,customer_003,merchant_000,1.295409,2025-08-25T15:00:00Z,licit,"[{""address"": ""customer_003"", ""amount"": 1.295409, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_000"", ""amount"": 1.256547}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_ecom_004,customer_004,merchant_001,1.218128,2025-08-25T17:00:00Z,licit,"[{""address"": ""customer_004"", ""amount"": 1.218128, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_001"", ""amount"": 1.181584}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_ecom_005,customer_005,merchant_002,0.448989,2025-08-25T19:00:00Z,licit,"[{""address"": ""customer_005"", ""amount"": 0.448989, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_002"", ""amount"": 0.435519}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_ecom_006,customer_006,merchant_000,1.278931,2025-08-25T21:00:00Z,licit,"[{""address"": ""customer_006"", ""amount"": 1.278931, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_000"", ""amount"": 1.240563}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_ecom_007,customer_007,merchant_001,2.346588,2025-08-25T23:00:00Z,licit,"[{""address"": ""customer_007"", ""amount"": 2.346588, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_001"", ""amount"": 2.27619}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_ecom_008,customer_008,merchant_002,1.115618,2025-08-26T01:00:00Z,licit,"[{""address"": ""customer_008"", ""amount"": 1.115618, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_002"", ""amount"": 1.082149}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_ecom_009,customer_009,merchant_000,0.459501,2025-08-26T03:00:00Z,licit,"[{""address"": ""customer_009"", ""amount"": 0.459501, ""script_type"": ""p2wpkh""}]","[{""address"": ""merchant_000"", ""amount"": 0.445716}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""e-commerce""}"
legit_exchange_000,user_wallet_000,exchange_hot_wallet,41.335875,2025-08-25T08:00:00Z,licit,"[{""address"": ""user_wallet_000"", ""amount"": 41.335875, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 41.294539}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
legit_exchange_001,user_wallet_001,exchange_hot_wallet,32.781855,2025-08-25T09:30:00Z,licit,"[{""address"": ""user_wallet_001"", ""amount"": 32.781855, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 32.749073}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
legit_exchange_002,user_wallet_002,exchange_hot_wallet,47.867262,2025-08-25T11:00:00Z,licit,"[{""address"": ""user_wallet_002"", ""amount"": 47.867262, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 47.819395}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
legit_exchange_003,user_wallet_003,exchange_hot_wallet,46.137033,2025-08-25T12:30:00Z,licit,"[{""address"": ""user_wallet_003"", ""amount"": 46.137033, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 46.090896}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
legit_exchange_004,user_wallet_004,exchange_hot_wallet,15.491096,2025-08-25T14:00:00Z,licit,"[{""address"": ""user_wallet_004"", ""amount"": 15.491096, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 15.475605}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
legit_exchange_005,user_wallet_005,exchange_hot_wallet,31.551309,2025-08-25T15:30:00Z,licit,"[{""address"": ""user_wallet_005"", ""amount"": 31.551309, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 31.519758}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
legit_exchange_006,user_wallet_006,exchange_hot_wallet,37.977092,2025-08-25T17:00:00Z,licit,"[{""address"": ""user_wallet_006"", ""amount"": 37.977092, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 37.939115}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
legit_exchange_007,user_wallet_007,exchange_hot_wallet,7.041954,2025-08-25T18:30:00Z,licit,"[{""address"": ""user_wallet_007"", ""amount"": 7.041954, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 7.034912}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
legit_exchange_008,user_wallet_008,exchange_hot_wallet,28.302525,2025-08-25T20:00:00Z,licit,"[{""address"": ""user_wallet_008"", ""amount"": 28.302525, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 28.274222}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
legit_exchange_009,user_wallet_009,exchange_hot_wallet,20.241765,2025-08-25T21:30:00Z,licit,"[{""address"": ""user_wallet_009"", ""amount"": 20.241765, ""script_type"": ""p2wpkh""}]","[{""address"": ""exchange_hot_wallet"", ""amount"": 20.221523}]","{""source"": ""synthetic"", ""pattern"": ""legitimate"", ""transaction_type"": ""exchange_deposit""}"
